text,sentiment
安装软件简单,1
通话音质清晰,1
音量很大,1
对焦快,1
我觉得动画比较有意思,1
手写识别灵敏度高,1
但其他条件下的拍摄就不怎么好了,-1
游戏音乐轻快,1
功能丰富实用,1
份量也不轻,-1
二是功能齐全,1
输入法自带的就很不错,1
短信输入还算凑合,1
高倍光变后的照片清晰度层次感很不好,-1
感觉一英寸大底确实不错,1
屏幕实在是太惊艳了,1
脚架环拆装很方便,1
按键的手感非常得好,1
小还配备了独立的扬声器,1
显示效果出众,1
新的接口小巧得多了,1
白色的屏幕尺寸大小适中,1
的画面色彩很艳丽的感觉,1
有铃声太小的问题,-1
查找联系人不方便,-1
音色尚算清晰,1
但每个键的尺寸都很大,1
显示效果细腻,1
屏幕太小,-1
声音太小,-1
屏幕大小适中,1
它的键盘背景灯也很有特色,1
屏幕的分辨率很低,-1
这样的配置使得在铃声的表现力方面还是比较的丰富多彩的,1
接收能力很强,1
像素不错,1
手机不算大,1
和弦清脆,1
能选择的铃声不多,-1
手机图片编辑功能丰富多样,1
软件兼容性也很好,1
信号没别人说的那么差,1
这个功能还是十分的方便实用的,1
但是音质相当好又大声,1
按键很好看,1
色彩太棒了,1
刚刚入手一款联想外观大气寸屏幕显示效果中上吧,1
电池还是不太够,-1
该机采用了一块英寸万色高分辨率屏幕,1
默认锐度和色彩鲜度都一般,-1
功能较全,1
声音也很大,1
的拍照功能不能说特别出众,-1
色彩迷人,1
但是这些游戏总体而言还是十分缺乏新颖性的可玩性一般,-1
重力非常不灵,-1
播放的视频格式与音乐格式太少,-1
此机最大的问题便是触摸键太灵敏了,-1
但色彩油润的多,1
字体偏小,-1
笔者感到音质效果所达到的水平也只能说一般,-1
显示图片清晰,1
笔尖太细,-1
内存比大,1
屏幕滑动不灵活,-1
功能还可以,1
这款手机电池虽然容量并不是太高,-1
不过的速度表现也不好,-1
很实用的功能,1
一般介面相当可爱,1
丰富的按键设计,1
所以感觉音质很不错,1
当时宣传对焦更快,-1
短消息我觉得比苹果方便,1
速度快我买来还没死机过,1
翻盖的听筒也是外观上的一个亮点,1
录音的效果我很满意,1
手机的各种功能设计的都非常的合理和人性化,1
成像效果不用说非常好,1
强大的功能扩展性,1
铃声的音量很小,-1
感觉还不错,1
正常运行速度比之前买的山寨机好多了山寨机都是假的,1
显示屏较大,1
下载的铃声因固定分配的存储空间小而不完整,-1
超大容量的电话簿,1
外观质朴小巧,1
外形优雅精致,1
价格便宜,1
外壳的接合处还比较紧,1
为啥选里程碑开始很流畅,1
高感太夸张了,-1
电池比较耐用,1
重量为克的背夹具有丰富的功能,1
较大的相机体积,1
电池的确很吓人的,-1
以前用三星的感觉屏幕很好很牢靠,1
的大光圈相机进光确实不错,1
的外形总的来说是蛮漂亮的,1
还好的成像效果比较清晰,1
手感不错,1
白天照相挺清楚的,1
图像发送步骤简单,1
系统操作流畅,1
就是后盖的设计太丑了,-1
部分部件采用了做工精良的拉丝金属材料,1
使机身线条非常圆滑,1
内存小,-1
外观很漂亮,1
原配耳机效果非常的好,1
还有一个就是画面不够清晰锐利的问题,-1
但在低音方面表现得差强人意,-1
手机外观很漂亮,1
象素的摄象头更是一个非常理想的配置,1
点触控也不错,1
但耐磨性就差多了,-1
按键比较大,1
做工精细,1
通话质量好,1
整体观感现代感很强,1
给用户带来了很好的操作方式,1
焦点准确,1
发现整个机器很好看,1
在整体感上还更胜一筹,1
最大的不爽是充电太不方便了,-1
画面细腻,1
音质特好不要看高低音扩展,1
拍摄短片声音失真,-1
打造极强立体声效的同时,1
虽说流畅程度不错,1
首先最大的一个缺陷就是机子做工和质量不行,-1
通话音质比较好,1
达到了外型设计和功能的完美结合,1
简单明了的设计风格一直是诺基亚直板机的主流,1
第三信号和通话质量也欠佳,-1
有些字体设计有点丑了,-1
视觉效果震撼,1
屏幕显示细腻,1
但是对紫边的控制绝对是数一数二的,1
独特的曲线型设计,1
触摸屏手感很好,1
照片很清晰,1
对焦较快,1
手写功能强大,1
重量轻了,1
因为外形太丑也许是个人喜好,-1
闹钟延时不方便,-1
录像也还可以,1
导航比较清楚,1
但是屏幕很大,1
黑色的外观给人大气的感觉,1
内置存储空间太小,-1
没有个性化短信提示音,-1
铃声调到最大时非常大,1
成像锐利,1
信号稳定,1
拍照功能和效果比较强大,1
按键手感不错,1
其他功能方面也很突出,1
外键盘灯的设计个人认为不是很科学,-1
性价比在所有洋品牌中来说是最好的,1
反应速度可以,1
色彩显示不错,1
系统流畅没的说,1
缺点是做工差了点,-1
软件界面简单,1
按键的设置个人觉得很科学,1
兼容性较强,1
手机震动不够强,-1
红外线方面和三星的机器连接时效果不错,1
三星的屏幕向来效果出众,1
索爱的全局画面完胜,1
不过功放一般,-1
层次感相当丰富,1
强大的商务娱乐功能,1
开机读卡速度比较慢,-1
可玩性挺高,1
冲电器太牛了,1
屏幕是的可视度比好,1
按键手感不错,1
手感非常好,1
杂音很小,1
但是此时对焦成功率比无敌兔高太多太多了,1
让拥有更加广泛的软件扩展,1
屏幕分辨率低,-1
感觉菜单比合理,1
光度适中,1
空间太小,-1
输入速度较快,1
备忘录功能强大,1
待机或通话时耗电很少,1
电池部位就特别热,-1
机身轻巧,1
关机闹钟自动开关机功能比较实用,1
来电钤声音量不稳定,-1
厚度也适中,1
录音灵敏度高,1
软件使用还可以,1
总得来说谷歌太子感觉还是不错的,1
拼音和笔画都很好用,1
非常成功的设计,1
成像最新最好,1
反应速度和效果都很棒,1
那的短信功能就更加人性化了,1
无线网络连接的也一般,-1
短信功能强,1
还原度好,1
机身太厚,-1
的低端彩屏机公认是效果差的了,-1
成像效果方面表现相当不错,1
虽然这两款游戏的可玩性尚可,1
优秀良好的滑槽可以带给用户舒适的操作享受,1
和弦铃声听起来还比较清澈悦耳,1
该款手机电池性能一般,-1
娱乐功能相对比较单调一些,-1
配长焦机身偏小,1
屏幕艳丽,1
性能还可以,1
当然也有优点清晰照相还行网速还可以,1
游戏数量较少,-1
完美的音乐表现,1
做工比较精致,1
手感不错,1
以及简洁明快的按键设计,1
待机时间尚可,1
系列的画质一般,-1
索爱手机采用了色的彩色的大显示屏,1
锂电池兼容性不够强,-1
屏幕的效果让我很满意,1
