安装软件简单	0,4 1
通话音质清晰	0,4 1
音量很大	0,2 1
对焦快	0,2 1
我觉得动画比较有意思	3,5 1
手写识别灵敏度高	0,7 1
但其他条件下的拍摄就不怎么好了	7,9 -1
游戏音乐轻快	0,4 1
功能丰富实用	0,2 1
份量也不轻	0,2 -1
二是功能齐全	2,4 1
输入法自带的就很不错	0,3 1
短信输入还算凑合	0,4 1
高倍光变后的照片清晰度层次感很不好	6,14 -1
感觉一英寸大底确实不错	-1,-1 1
屏幕实在是太惊艳了	0,2 1
脚架环拆装很方便	0,5 1
按键的手感非常得好	0,5 1
小还配备了独立的扬声器	8,11 1
显示效果出众	0,4 1
新的接口小巧得多了	2,4 1
白色的屏幕尺寸大小适中	3,7 1
的画面色彩很艳丽的感觉	1,5 1
有铃声太小的问题	1,3 -1
查找联系人不方便	0,5 -1
音色尚算清晰	0,2 1
但每个键的尺寸都很大	3,7 1
显示效果细腻	0,4 1
屏幕太小	0,2 -1
声音太小	0,2 -1
屏幕大小适中	0,4 1
它的键盘背景灯也很有特色	2,7 1
屏幕的分辨率很低	0,6 -1
这样的配置使得在铃声的表现力方面还是比较的丰富多彩的	8,16 1
接收能力很强	0,4 1
像素不错	0,2 1
手机不算大	0,2 1
和弦清脆	0,2 1
能选择的铃声不多	4,6 -1
手机图片编辑功能丰富多样	0,8 1
软件兼容性也很好	0,5 1
信号没别人说的那么差	0,2 1
这个功能还是十分的方便实用的	2,4 1
但是音质相当好又大声	2,4 1
按键很好看	0,2 1
色彩太棒了	0,2 1
刚刚入手一款联想外观大气寸屏幕显示效果中上吧	8,10 1
电池还是不太够	0,2 -1
该机采用了一块英寸万色高分辨率屏幕	12,15 1
默认锐度和色彩鲜度都一般	2,4 -1
功能较全	0,2 1
声音也很大	0,2 1
的拍照功能不能说特别出众	1,5 -1
色彩迷人	0,2 1
但是这些游戏总体而言还是十分缺乏新颖性的可玩性一般	20,23 -1
重力非常不灵	0,2 -1
播放的视频格式与音乐格式太少	3,7 -1
此机最大的问题便是触摸键太灵敏了	9,12 -1
但色彩油润的多	1,3 1
字体偏小	0,2 -1
笔者感到音质效果所达到的水平也只能说一般	4,8 -1
显示图片清晰	0,4 1
笔尖太细	0,2 -1
内存比大	0,2 1
屏幕滑动不灵活	0,4 -1
功能还可以	-1,4 1
这款手机电池虽然容量并不是太高	-1,-1 -1
不过的速度表现也不好	3,7 -1
很实用的功能	4,6 1
一般介面相当可爱	2,4 1
丰富的按键设计	3,7 1
所以感觉音质很不错	4,6 1
当时宣传对焦更快	4,6 -1
短消息我觉得比苹果方便	0,3 1
速度快我买来还没死机过	0,2 1
翻盖的听筒也是外观上的一个亮点	0,5 1
录音的效果我很满意	0,5 1
手机的各种功能设计的都非常的合理和人性化	0,7 1
成像效果不用说非常好	0,4 1
强大的功能扩展性	3,8 1
铃声的音量很小	3,5 -1
感觉还不错	-1,-1 1
正常运行速度比之前买的山寨机好多了山寨机都是假的	2,6 1
显示屏较大	0,3 1
下载的铃声因固定分配的存储空间小而不完整	11,15 -1
超大容量的电话簿	5,8 1
外观质朴小巧	0,2 1
外形优雅精致	0,2 1
价格便宜	0,2 1
外壳的接合处还比较紧	0,6 1
为啥选里程碑开始很流畅	-1,-1 1
高感太夸张了	0,2 -1
电池比较耐用	0,2 1
重量为克的背夹具有丰富的功能	12,14 1
较大的相机体积	5,7 1
电池的确很吓人的	0,2 -1
以前用三星的感觉屏幕很好很牢靠	8,10 1
的大光圈相机进光确实不错	4,6 1
的外形总的来说是蛮漂亮的	1,3 1
还好的成像效果比较清晰	3,7 1
手感不错	0,2 1
白天照相挺清楚的	2,4 1
图像发送步骤简单	0,6 1
系统操作流畅	2,4 1
就是后盖的设计太丑了	2,7 -1
部分部件采用了做工精良的拉丝金属材料	7,9 1
使机身线条非常圆滑	1,5 1
内存小	0,2 -1
外观很漂亮	0,2 1
原配耳机效果非常的好	2,6 1
